Titulo;Isbn;Autor;Assunto;Valor;
Música do Parnaso;85-7480-312-X;Manuel Botelho de Oliveira, Ivan Teixeira;Crítica literária, Poesia, Literatura portuguesa, Fac-símile;R$ 150,00;
Medeia;978-85-7480-658-7;Trupersa - Trupe de Tradução de Teatro Antigo, Eurípides;Literatura clássica, Teatro, Bilíngue, Cultura grega, Tradução;R$ 42,00;
Medicina de Os Lusíadas, A;85-7480-203-4;Pedro Nava;Crítica literária, Medicina e Saúde, Literatura portuguesa;R$ 58,00;
Melancolias, Mercadorias: Dorival Caymmi, Chico Buarque, o Pregão de Rua e a Canção Popular-Comercial no Brasil;978-85-7480-502-3;Walter Garcia;Música, Crítica musical;R$ 72,00;
Memória Futura;978-85-7480-519-1;Paulo Franchetti;Literatura brasileira, Poesia;R$ 55,00;
Memórias Biográficas de Pintores Extraordinários;85-7480-041-4;William Beckford;Arte, Memória;R$ 57,00;
Memórias de um Sargento de Milícias;978-85-7480-728-7;Mamede Mustafa Jarouche, Manuel Antônio de Almeida;Literatura brasileira, Romance, Ilustrado;R$ 64,00;
Memórias Póstumas de Brás Cubas;978-85-7480-598-6;Antonio Medina Rodrigues, Machado de Assis;Literatura brasileira, Romance, Ilustrado;R$ 69,00;
Memorial de Aires;978-65-5580-114-9;Machado de Assis, Ieda Lebensztayn;Literatura brasileira, Romance;R$ 79,00;
Memorial de Mogi das Cruzes;85-7480-101-1;José Sebastião Witter;Literatura brasileira, Crônicas;R$ 65,00;
Memorial de um Herege;85-7480-018-X;Samuel Reibscheid;Literatura brasileira, Romance;R$ 68,00;
Mensagem;978-85-7480-702-7;António Apolinário Lourenço, Kaio Romero, Fernando Pessoa;Poesia, Literatura portuguesa, Ilustrado;R$ 59,00;
Meu Fausto (Esboços);978-85-7480-542-9;Paul Valéry;Literatura estrangeira, Teatro, Tradução;R$ 65,00;
Milton Hatoum - Itinerário para um Certo Relato;85-7480-315-4;Marleine Paula Marcondes e Ferreira de Toledo;Literatura brasileira, Crítica literária;R$ 67,00;
Mistério do Leão Rampante, O;85-7480-302-2;Rodrigo Lacerda;Humor, Literatura brasileira, Romance, Ilustrado;R$ 120,00;
Mistérios do Dicionário;85-7480-252-2;João Alexandre Barbosa;Crítica literária, Literatura;R$ 78,00;
Modernidade entre Tapumes, A;978-65-5580-008-1;Vagner Camilo;Crítica literária, Literatura, Poesia, Teoria literária;R$ 135,00;
Modernização pelo Avesso - Impasses da Representação Literária em Os Contos de Belazarte, de Mário de Andrade;978-85-7480-697-6;Wilson José Flores Jr.;Literatura brasileira, Crítica literária, Estudos Literários;R$ 68,00;
Modos de Leitura - Crítica e Tradução;978-65-5580-047-0;Gustavo Piqueira, Mario Higa;Crítica literária;R$ 72,00;
Modos de Morar nos Apartamentos Duplex;978-65-5580-044-9;Sabrina Fontenele;Ilustrado, Sociologia e Sociedade, Arquitetura, Urbanismo;R$ 105,00;
Moeda da Arte, A - A Dinâmica dos Campos Artístico e Econômico no Patrocínio;978-85-7480-653-2;Eduardo Fragoaz;Política, Economia, Cultura;R$ 80,00;
Moleque de Fábrica - Uma Arqueologia da Memória Social;978-85-7480-788-1;José de Souza Martins;Memória, Ilustrado, Sociologia e Sociedade, Política;R$ 94,00;
Morte aos Papagaios;85-7480-265-4;Gustavo Piqueira;Literatura brasileira, Design, Crônicas, Ilustrado;R$ 75,00;
Muita Sorte  Pouco Juízo;85-7480-106-2;José Roberto de Alencar;Memória, Jornalismo, Ilustrado;R$ 44,00;
Mulher no Escuro, A;978-85-7480-326-5;Cláudia Vasconcellos;Literatura brasileira, Contos, Teatro;R$ 64,00;
Mulheres de Passagem;978-85-7480-733-1;M. A. Amaral Rezende;Literatura, Contos;R$ 49,00;
Museu da Infância Eterna;978-65-5580-006-7;Miguel Sanches Neto;Memória, Literatura brasileira, Crônicas;R$ 56,00;
Na Conquista do Brasil;85-7480-053-8;Donaldo Schüler;Literatura brasileira, Crítica literária;R$ 68,00;
Na Madrugada das Formas Poéticas;85-7480-054-6;Segismundo Spina;Idade média, Crítica literária, Poesia, Literatura medieval;R$ 36,00;
Na Senda das Noites: Os Quatro Talismãs de Charles Nodier e Les mille et une nuits;978-85-7480-472-9;Christiane Damien;Crítica literária, Literatura estrangeira, Cultura árabe;R$ 68,00;
Nações Literárias;978-85-7480-504-7;Wander Melo Miranda;Crítica literária;R$ 67,00;
Narciso em Sacrifício - A Poética de Mário de Sá-Carneiro;85-7480-191-7;Mario de Sá-Carneiro, Fernando Paixão;Crítica literária, Literatura portuguesa;R$ 65,00;
Nas Águas do Mesmo Rio;85-7480-311-1;Giselda Leirner;Literatura brasileira, Romance;R$ 67,00;
Nas Tramas da Ficção - História, Literatura e Leitura;978-85-7480-408-8;Clóvis Gruner, Cláudio DeNipoti;Crítica literária, Literatura;R$ 68,00;
Nós e as Palavras;978-85-7480-812-3;Luís Bueno;Crítica literária, Literatura, Teoria literária;R$ 74,00;
Nebulosa, A;978-85-7480-782-9;Joaquim Manuel de Macedo, Kaio Romero, Angela Maria Gonçalves da Costa;Ilustrado, Literatura brasileira, Poesia;R$ 56,00;
Neguinho;978-85-7480-433-0;Guga Stroeter;Literatura brasileira, Romance, Ilustrado;R$ 65,00;
No Fim das Terras;85-7480-260-3;Milton Torres;Literatura brasileira, Poesia;R$ 92,00;
No Limiar da Noite;978-65-5580-038-8;José de Souza Martins;Poesia, Crônicas;R$ 48,00;
No Rastro de Afrodite - Plantas Afrodisíacas e Culinária;85-7480-232-8;Gil Felippe;Ilustrado, Gastronomia, Culinária, Botânica;R$ 120,00;
Nome do Cuidado, O;978-85-7480-452-1;Leo Lama, Paulo Hersch Rosenbaum;Medicina e Saúde, Cinema, Ilustrado;R$ 67,00;
Normas Gerais para os Trabalhos de Grau;85-7480-108-9;Segismundo Spina;Comunicação, Escrita, Produção acadêmica;R$ 56,00;
Notícia Histórica da Vida e das Obras de José Haydn;85-7480-180-1;J. Le Breton;Tradução, Música, Memória;R$ 58,00;
Novas Tecnologias - EGC Arquitetura;85-7480-220-4;Renato Schroeder;Arquitetura, Ilustrado;R$ 25,00;
Nove Degraus para o Esquecimento;978-85-7480-761-4;Aguinaldo Gonçalves;Ilustrado, Literatura brasileira, Poesia;R$ 95,00;
Novelas, Espelhos e um Pouco de Choro;85-7480-052-X;Thelma Guedes;Literatura brasileira, Contos;R$ 68,00;
Noviço, O;978-85-7480-707-2;José de Paula Ramos Jr., Martins Pena;Literatura brasileira, Teatro, Ilustrado;R$ 58,00;
Novos Poemas;978-85-7480-747-8;Carlos Vogt;Literatura, Poesia;R$ 66,00;
O Azul e o Mar;978-85-7480-824-6;Paul Valéry, Eduardo de Campos Valadares;Literatura estrangeira, Poesia, Bilíngue, Tradução;R$ 56,00;
O Hóspede;978-85-7480-798-0;Mario Higa;Literatura brasileira, Contos;R$ 56,00;
O Língua;978-85-7480-818-5;Eromar Bomfim;Romance, Literatura;R$ 68,00;
O Marinheiro;978-65-5580-116-3;Fernando Pessoa, António Apolinário Lourenço;Literatura portuguesa, Teatro;R$ 42,50;
O Pai - 6a edição;978-85-7480-826-0;Dirce de Assis Cavalcanti;Memória, Ilustrado, História, Biografia;R$ 63,00;
O Que Aconteceu, Aconteceu;85-7480-023-6;Jacó Guinsburg;Judaísmo, Literatura brasileira, Contos;R$ 63,00;
O Que É Comunicação Poética;978-85-7480-561-0;Décio Pignatari;Comunicação, Poesia, Ilustrado;R$ 36,00;
O Que É Um Livro?;978-85-7480-830-7;João Adolfo Hansen;História, Editoração, Livros sobre livros, Bibliofilia;R$ 42,00;
O Um;85-85851-41-4;Bruno Verner;Literatura brasileira, Poesia;R$ 73,00;
Obras Poéticas de Alvarenga Peixoto;978-65-5580-022-7;Caio Cesar Esteves de Souza, Alvarenga Peixoto;Literatura brasileira, Poesia;R$ 98,00;
Octávio Brandão e as Matrizes Intelectuais do Marxismo no Brasil;978-85-7480-816-1;Felipe Castilho de Lacerda;Ilustrado, Sociologia e Sociedade, História, Política;R$ 68,00;
Olga Savary - Erotismo e Paixão;978-85-7480-424-8;Marleine Paula Marcondes e Ferreira de Toledo;Literatura brasileira, Crítica literária, Poesia;R$ 68,00;
Olhares Desatentos;978-85-7480-347-0;Sérgio Sesiki;Literatura brasileira, Poesia, Contos, Crônicas, Cultura, Ilustrado;R$ 57,00;
Olhares Plausíveis;978-85-7480-435-4;Gregório Bacic;Literatura brasileira, Contos;R$ 57,00;
Olho Vesgo, O;85-7480-080-5;Tiago Mussi;Literatura brasileira, Contos;R$ 48,00;
Orações Insubordinadas;978-85-7480-431-6;Carlos Castelo;Humor, Literatura brasileira, Aforismos, Ilustrado;R$ 78,00;
Orestes;978-85-7480-766-9;Eurípides, Trupersa - Trupe de Tradução de Teatro Antigo;Bilíngue, Tradução, Teatro, Literatura clássica, Cultura grega;R$ 68,00;
Orlando Furioso - 2 ed. Tomo I;978-65-5580-097-5;Ludovico Ariosto, Pedro Garcez Ghirardi;Ilustrado, Poesia, Bilíngue, Literatura medieval, Literatura clássica, Idade média;R$ 220,00;
Orlando Furioso - Tomo I;978-85-7480-529-0;Ludovico Ariosto;Cultura medieval, Idade média, Poesia, Bilíngue, Literatura clássica, Ilustrado, Tradução;R$ 138,00;
Orlando Furioso - Tomo II;978-65-5580-079-1;Ludovico Ariosto, Pedro Garcez Ghirardi;Ilustrado, Poesia, Bilíngue, Literatura medieval, Literatura clássica;R$ 260,00;
Os Admiradores Desconhecidos de "La Nouvelle Héloïse";978-65-5580-061-6;Jean-Jacques Rousseau, Daniel Mornet, Geraldo Gerson de Souza;Literatura estrangeira, Tradução, História, Livros sobre livros, Bibliofilia;R$ 73,00;
Os Diabos de Ourém;978-65-5580-099-9;Maria Luiza Tucci Carneiro;Ilustrado, Literatura brasileira, Romance, História;R$ 68,00;
Os Evangelhos - Uma Tradução;978-65-5580-011-1;Marcelo Musa Cavallari;Bilíngue, Tradução, Literatura clássica, Religião;R$ 147,00;
Os Maias - 3a. ed.;978-65-5580-029-6;Eça de Queirós;Romance, Literatura portuguesa;R$ 83,00;
Os Sertões (6a. ed.);978-65-5580-077-7;Euclides da Cunha, Leopoldo Bernucci, Enio Squeff;Ilustrado, Literatura brasileira, Romance, História;R$ 295,00;
Otelo Brasileiro de Machado de Assis, O - 3a. ed.;978-65-5580-028-9;Helen Caldwell;Tradução, Literatura brasileira, Crítica literária;R$ 72,00;
Outra Guerra do Fim do Mundo, A;978-85-7480-667-9;Osvaldo Coggiola;Política, História, Sociologia e Sociedade, Ilustrado;R$ 68,00;
Outra Língua;978-85-7480-374-6;Henryk Siewierski;Literatura brasileira, Poesia;R$ 36,00;
Outro Lado do Vento, O;978-85-7480-528-3;Wassily Chuck;Literatura brasileira, Poesia;R$ 68,00;
Ouvir o Som;85-7480-268-9;Paulo Zuben;Música;R$ 68,00;
País em Branco;978-85-7480-375-3;Ricardo Rizzo;Literatura brasileira, Poesia;R$ 63,00;
Pagu - Literatura e Revolução;85-7480-169-0;Thelma Guedes;Literatura brasileira, Crítica literária, Biografia;R$ 68,00;
Pai de Max Bauer e Outros Contos, O;978-85-7480-568-9;Marcos Rodrigues;Literatura brasileira, Contos, Ilustrado;R$ 54,00;
Paixão & Poesia;978-65-5580-066-1;Adélia Bezerra de Meneses;Ilustrado, Crítica literária, Literatura, Estudos Literários;R$ 80,00;
Palavra e Rosto;978-85-7480-450-7;Fernando Paixão;Literatura brasileira, Poesia, Ilustrado;R$ 76,00;
Palavra e Sombra - Ensaios de Crítica;978-85-7480-467-5;Arthur Nestrovski;Literatura brasileira, Crítica literária, Literatura estrangeira;R$ 67,00;
Palmeirim de Inglaterra;978-85-7480-735-5;Lênia Márcia Mongelli, Francisco de Moraes;Ilustrado, Romance, Literatura, Literatura portuguesa, Literatura medieval, Cultura medieval, Idade média;R$ 241,00;
Papel-Jornal - Artigos de Jornalismo Cultural;85-7480-025-2;Marcello Rollemberg;Jornalismo, Cultura;R$ 58,00;
Paradeiro;978-85-7480-819-2;Luís Bueno;Romance, Literatura;R$ 68,00;
Paratextos Editoriais;978-85-7480-458-3;Gérard Genette;Design, Artes gráficas, Tradução, Editoração, Livros sobre livros;R$ 110,00;
Parsona;978-85-7480-757-7;Adriano Scandolara;Poesia;R$ 44,90;
Parte da Tarde, A;85-7480-306-5;Fernando Paixão;Literatura brasileira, Poesia, Ilustrado;R$ 68,00;
Pas de Politique Mariô! Mario Pedrosa e a Política;978-85-7480-768-3;Dainis Karepovs;Ilustrado, História, Política;R$ 72,00;
Passos da Semiótica Tensiva;978-85-7480-844-4;Luiz Tatit;Comunicação, Semiótica, Linguística;R$ 56,00;
Pastorinhas de Pirenópolis-GO, As;978-85-7480-672-3;Lênia Márcia Mongelli, Neide Rodrigues Gomes;Ilustrado, História, Religião, Teatro, Cultura;R$ 87,00;
Paulinho da Viola e o Elogio do Amor;978-85-7480-745-4;Eliete Eça Negreiros;Música, Crítica musical;R$ 56,00;
Périplos;85-7480-277-8;Simone Homem de Mello;Literatura brasileira, Poesia;R$ 67,00;
Pedras Pensadas;85-7480-143-7;Adolfo Montejo Navas;Poesia, Literatura estrangeira, Bilíngue, Aforismos;R$ 65,00;
Pedro Nava e a Construção do Texto;85-7480-202-6;Edina Panichi, Miguel Luiz Contani;Literatura brasileira, Crítica literária;R$ 62,00;
Pequeno Guia Histórico das Livrarias Brasileiras;978-85-7480-420-0;Ubiratan Machado;Livros sobre livros, Memória, Cultura, Livrarias, Ilustrado;R$ 65,00;
Pequeno Livro do Cerrado, O;85-7480-186-0;Gil Perini;Literatura brasileira, Contos;R$ 53,00;
Pequeno Palco;978-65-5580-020-3;Ricardo Lima;Ilustrado, Literatura, Poesia;R$ 54,00;
Pequeno Pomo ou a História da Música do Pós-Modernismo, O;85-85851-46-5;Boudewijn Buckinx;Música, Crítica musical;R$ 67,00;
Percursos pela África e por Macau;85-7480-276-X;Benilde Justo Caniato;Crítica literária, Literatura africana;R$ 67,00;
Perseu, Medusa & Camille Claudel - Sobre a Experiência de Captura Estética;978-85-7480-423-1;Ada Morgenstern;Arte, Psicanálise e Psicologia, Ilustrado;R$ 72,00;
Philobiblon ou O Amigo do Livro;978-85-7480-368-5;Marcelo Castel Cid;Tradução, Cultura medieval, Idade média, Livros sobre livros, Bilíngue, Bibliofilia;R$ 57,00;
Pincelagens & Debuxos / Debuxos & Pincelagens;85-7480-266-2;Hélio Cabral;Arte, Ilustração e pintura, Humor;R$ 88,00;
Pintura como Modelo para uma Filosofia da Expressão;978-85-7480-806-2;Ana Westphal;Arte, Filosofia;R$ 39,00;
Plínio, o Jovem;978-65-5580-065-4;João Ângelo Oliva Neto, Paulo Sergio de Vasconcellos, Plinio o Jovem;Bilíngue, Tradução, Literatura clássica;R$ 109,00;
Poema dos Lunáticos, O;85-7480-246-8;Ermanno Cavazzoni;Cinema, Romance, Literatura estrangeira, Tradução;R$ 75,00;
Poema, O: Leitores e Leituras;85-7480-028-7;Andrea Saad Hossne, Ivone Daré Rabello, Viviana Bosi, Cláudia Arruda Campos;Crítica literária, Literatura;R$ 65,00;
Poemas Reunidos;978-85-7480-509-2;Mario Higa, Cesário Verde;Poesia, Literatura portuguesa;R$ 61,00;
Poesia É Criação: Uma Antologia;978-85-7480-716-4;José de Almada Negreiros;Ilustrado, Poesia, Literatura estrangeira, Teoria literária, Literatura portuguesa, Teatro;R$ 78,00;
Poesia como Pintura, A - A Ekphrasis em Albano Martins;978-85-7480-699-0;Álvaro Cardoso Gomes;Arte, Crítica literária, Poesia, Literatura portuguesa, Estudos Literários;R$ 65,00;
Poesias;978-85-7480-400-2;Segismundo Spina;Literatura brasileira, Poesia;R$ 38,00;
Poetas Românticos, Críticos e Outros Loucos;85-7480-189-5;Charles Rosen;Tradução, Crítica literária, Literatura;R$ 73,00;
Política Cultural e Economia da Cultura;978-85-7480-630-3;José Carlos Durand;Política, Economia, Cultura;R$ 68,00;
Pontuação Circense;85-7480-035-X;Esio Macedo;Literatura brasileira, Poesia;R$ 32,00;
Por Minha Letra e Sinal - Documentos do Ouro do Século XVII;85-7480-303-0;Heitor Megale, Sílvio de Almeida Toledo Neto;Idade média, Paleografia, História, Livros sobre livros, Linguística;R$ 110,00;
Por um Cinema Popular - Leon Hirszman, Política e Resistência;978-65-5580-009-8;Gustavo Piqueira, Reinaldo Cardenuto;Ilustrado, História, Política, Cinema;R$ 96,00;
Por uma Nova Política - Uma Campanha na SBPC;85-7480-196-8;Renato Janine Ribeiro;Política, Sociologia e Sociedade;R$ 62,00;
Portanto... Pepetela;978-85-7480-457-6;Rita Chaves, Tania Macêdo;Crítica literária, Literatura africana;R$ 76,00;
Portas do Sonho, As;85-7480-096-1;Adélia Bezerra de Meneses;Mitologia, Psicanálise e Psicologia, Cultura, Ilustrado;R$ 78,00;
Portos Flutuantes - Trânsitos Ibero-afro-americanos;85-7480-245-X;Benjamin Abdala Jr., Marli Fantini Scarpelli;Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana;R$ 72,00;
Porvir que Vem Antes de Tudo - Literatura e Cinema em Lavoura Arcaica;978-85-7480-585-6;Renato Tardivo;Crítica literária, Psicanálise e Psicologia, Cinema;R$ 62,00;
Prelúdio da Metrópole - Arquitetura e Urbanismo em São Paulo na Passagem do Século XIX ao XX;85-7480-014-7;Hugo Segawa;Arquitetura, Urbanismo, Patrimônio Histórico, Ilustrado;R$ 92,00;
Prenúncios e Vestígios;978-85-7480-695-2;Edward Lopes;Literatura brasileira, Crítica literária;R$ 85,00;
Presente;978-65-5580-039-5;Esio Macedo;Literatura, Poesia;R$ 58,00;
Preservação do Patrimônio Arquitetônico da Industrialização;978-85-7480-814-7;Beatriz Mugayar Kühl;Arquitetura, Restauração, Patrimônio Histórico, Ilustrado;R$ 110,00;
Primórdios da Cerveja no Brasil, Os;85-7480-183-6;Sérgio de Paula Santos;Gastronomia, História;R$ 48,00;
Primeiras Palavras;85-85851-88-0;Douglas Messerli;Poesia, Literatura estrangeira, Bilíngue;R$ 48,00;
Primeiro Livro. A Vida Muito Horrífica do Grande Gargantua, Pai de Pantagruel;978-65-5580-054-8;François Rabelais, Élide Valarini Oliver;Ilustrado, Romance, Literatura estrangeira, Tradução;R$ 176,00;
Primo Basílio, O;978-85-7480-669-3;Paulo Franchetti, Luciana Rocha, Eça de Queirós;Romance, Literatura portuguesa, Ilustrado;R$ 50,80;
Privilégios, Os;978-85-7480-591-7;Jerusa Pires Ferreira, Stendhal;Literatura estrangeira, Contos, Tradução;R$ 49,00;
Processos de Criação em À Sombra das Raparigas em Flor, Os;978-85-7480-732-4;Philippe Willemart;Crítica literária, Literatura, Teoria literária, Psicanálise e Psicologia;R$ 68,00;
Produção Gráfica para Designers;978-85-7480-731-7;Mark Gatter;Ilustrado, Design, Artes gráficas, Tradução, Livros sobre livros;R$ 160,00;
Proust, Poeta e Psicanalista;85-7480-024-4;Philippe Willemart;Crítica literária, Literatura estrangeira, Psicanálise e Psicologia;R$ 65,00;
Psicolirismo da Terapia Cotidiana;978-85-7480-639-6;Rita Moutinho;Poesia;R$ 68,00;
Quadragésimo;85-85851-79-1;Horácio Costa;Literatura brasileira, Poesia;R$ 65,00;
Quarto Livro dos Fatos e Ditos Heroicos do Bom Pantagruel, O;978-85-7480-709-6;François Rabelais;Tradução, Romance, Literatura estrangeira, Ilustrado;R$ 161,00;
Quase Fim de Serapião Filogônio, O;978-85-7480-390-6;Jonas Rosa;Literatura brasileira, Romance;R$ 56,00;
Quase Tudo;978-85-7480-530-6;Ecos Falsos;Música, Biografia;R$ 30,00;
Quatro Ensaios sobre OSCAR NIEMEYER;978-85-7480-666-2;Paulo Bruna, Ingrid Quintana Guerrero;Ilustrado, Arquitetura, Restauração, Urbanismo;R$ 72,00;
Queda do Muro de Berlim e a Presentificação da História, A;85-7480-131-3;Flávia Bancher;Política, História, Sociologia e Sociedade, Ilustrado;R$ 62,00;
Questão da Ideologia no Círculo de Bakhtin, A;978-85-7480-760-7;Luiz Rosalvo Costa;Ilustrado, Comunicação, Filosofia, Linguística;R$ 68,00;
Quincas Borba;978-85-7480-742-3;Machado de Assis, Jean Pierre Chauvin, Kaio Romero;Ilustrado, Literatura brasileira, Romance;R$ 63,00;
Rabelais e Joyce - Três Leituras Menipeias;978-85-7480-313-5;Élide Valarini Oliver;Crítica literária, Literatura estrangeira;R$ 65,00;
Rapid Departures;85-7480-308-1;Vincent Katz;Tipografia, Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução;R$ 72,00;
Réu Confesso - Poemas Reunidos (1968-2010);978-85-7480-521-4;Luiz Meyer;Literatura brasileira, Poesia;R$ 44,00;
Realidade & Ilusão em Machado de Assis;978-85-7480-410-1;José Aderaldo Castello;Literatura brasileira, Crítica literária;R$ 64,00;
Realidade Possível: Dilemas da Ficção em Henry James e Machado de Assis;978-85-7480-626-6;Marcelo Pen Parreira;Crítica literária;R$ 68,00;
Realidades e Ficções na Trama Fotográfica - 5ª Edição;978-85-7480-730-0;Boris Kossoy;História, Fotografia;R$ 45,00;
Realidades e Ficções na Trama Fotográfica - 6a ed.;978-65-5580-013-5;Boris Kossoy;Ilustrado, História, Fotografia;R$ 63,00;
Recordações do Escrivão Isaías Caminha;978-65-5580-082-1;José de Paula Ramos Jr., Lima Barreto, Zepa Ferrer;Ilustrado, Literatura brasileira, Romance;R$ 75,00;
Refluxos;978-85-7480-523-8;Edson Valente;Literatura brasileira, Contos;R$ 58,00;
Relíquia, A;978-85-7480-755-3;Fernando Marcílio L. Couto, Eça de Queirós;Romance, Literatura portuguesa, Ilustrado;R$ 61,00;
Remorso do Cosmos;85-7480-197-6;Régis Bonvicino;Literatura brasileira, Poesia;R$ 53,00;
René Thiollier - Obra e Vida do Grão-Senhor da Villa Fortunata e da Academia Paulista de Letras;978-85-7480-770-6;Valter Cesar Pinheiro;Ilustrado, Literatura brasileira, Crítica literária, Biografia;R$ 69,00;
República das Bicicletas;85-7480-199-2;Moacyr Godoy Moreira;Literatura brasileira, Crônicas;R$ 50,00;
Repensando a Educação;978-85-7480-379-1;Geraldina Porto Witter;Educação e Pedagogia;R$ 35,00;
Repensando o Partido Verde Brasileiro;85-7480-255-7;Tibor Rabóczkay;Política;R$ 53,00;
Resíduos;85-85851-23-6;David Oscar Vaz;Literatura brasileira, Contos;R$ 56,00;
Resíduos Ensaísticos de uma Pós-Graduação;978-85-7480-517-7;Segismundo Spina;Crítica literária, Teoria literária, Linguística;R$ 54,00;
Resposta;85-7480-279-4;Elisa Nazarian;Literatura brasileira, Poesia;R$ 63,00;
Restauração;978-85-7480-632-7;E. E. Viollet-le-Duc;Arquitetura, Restauração;R$ 55,00;
Restauradores, Os - 5a. ed.;978-65-5580-049-4;Beatriz Mugayar Kühl, Camillo Boito, Paulo Mugayar Kühl;Arquitetura, Restauração, Patrimônio Histórico, Urbanismo;R$ 57,00;
Resumo do Dia;85-85851-11-2;Heitor Ferraz;Literatura brasileira, Poesia;R$ 52,00;
Retorno de Bennu, O;978-85-7480-803-1;Majela Colares;Literatura brasileira, Poesia;R$ 64,00;
Retrato do Brasil em Cordel;978-85-7480-538-2;Mark Curran;Ilustrado, Livros sobre livros, Literatura brasileira, Cultura, Cordel;R$ 120,00;
Revista de Estudos Orientais n° 4;(não possui);Depto. Letras Orientais USP;Literatura estrangeira;R$ 78,00;
Revistas na Era Pós-Verso;85-7480-222-0;Omar Khouri;Crítica literária, Editoração, Poesia concreta, Ilustrado;R$ 64,00;
Rio na Parede, O;978-85-7480-586-3;Gil Felippe;Literatura brasileira, Contos;R$ 63,00;
Romance de Formação em Perspectiva Histórica - O Tambor de Lata de Günter Grass;85-85851-87-2;Marcus Vinicius Mazzari;Crítica literária, Literatura estrangeira;R$ 64,00;
Romance de Formação: Caminhos e Descaminhos do Herói;978-65558-000-74;Marcus Vinicius Mazzari, Maria Cecilia Marks;Crítica literária, Literatura, Teoria literária;R$ 106,00;
Rosa Luxemburgo: Crise e Revolução;978-85-7480-809-3;Rosa Rosa Gomes;História, Política;R$ 72,00;
Rosto da Memória, O;978-85-7480-690-7;Décio Pignatari;Literatura brasileira, Contos;R$ 68,00;
Roteiro para um Narrador - Uma Leitura dos Contos de Rubem Fonseca;85-7480-020-1;Ariovaldo José Vidal;Literatura brasileira, Crítica literária;R$ 65,00;
Rousseau e as Artes;978-85-7480-701-0;Paulo Mugayar Kühl, Célia Gambini;Arte, Filosofia;R$ 62,00;
Rudimentos da Vida Coletiva;85-7480-137-2;Alcir Pécora;Literatura brasileira, Romance;R$ 55,00;
Rumo à Vertigem ou A Arte de Naufragar-se;978-85-7480-717-1;Wassily Chuck;Literatura brasileira, Poesia, Ilustrado;R$ 69,00;
Rupturas - Poemas em Busca de um Eixo;978-85-7480-569-6;Ana Maria Amaral;Literatura brasileira, Poesia, Ilustrado;R$ 43,00;
Sabedoria do Bibliotecário, A;978-85-7480-829-1;Michel Melot;Biblioteconomia, Livros sobre livros;R$ 91,00;
Salvações no Nordeste - Política e Participação Popular;978-85-7480-573-3;Flávia Borges Pereira;Política, História, Sociologia e Sociedade, Cordel;R$ 62,00;
Sangue dos Dias Transparentes, O;85-7480-134-8;Paulo Franchetti;Literatura brasileira, Contos;R$ 58,00;
Saramago - Um Roteiro para os Romances - 2 ed.;978-65-5580-083-8;Eduardo Calbucci;Literatura portuguesa, Estudos Literários;R$ 67,00;
São Paulo: Trânsitos;85-7480-297-2;Vincenzo Scarpellini;Arte, Ilustração e pintura;R$ 48,00;
São Paulo: Vidas;85-7480-298-0;Vincenzo Scarpellini;Arte, Ilustração e pintura;R$ 48,00;
Século da Canção, O - 3a. ed.;978-65-5580-036-4;Luiz Tatit;Música, Semiótica, Crítica musical;R$ 75,00;
Só (seguido de Despedidas);978-85-7480-463-7;Annie Gisele Fernandes, Hélder Garmes, Antônio Nobre;Poesia, Literatura portuguesa, Ilustrado;R$ 64,00;
Sôbô - Uma Saga da Imigração Japonesa (2a. ed.);978-85-7480-833-8;Tatsuzô Ishikawa;Memória, Romance, Literatura estrangeira, Ilustrado, Tradução;R$ 67,00;
Segundo Livro do Bom Pantagruel, Rei dos Dipsodos... O;978-65-5580-055-5;François Rabelais, Élide Valarini Oliver;Ilustrado, Romance, Literatura estrangeira, Tradução;R$ 146,00;
Sem Aqui, Nem Agora;978-65-5580-108-8;M. A. Amaral Rezende;Literatura brasileira, Romance, Literatura;R$ 65,00;
Sementes Aladas;978-85-7480-471-2;Percy Bysshe Shelley;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 68,00;
Semiótica & Literatura (8a. ed.);978-85-7480-778-2;Décio Pignatari;Comunicação, Cultura, Literatura, Semiótica;R$ 62,00;
Semiótica à Luz de Guimarães Rosa;978-85-7480-397-5;Luiz Tatit;Literatura brasileira, Crítica literária, Semiótica;R$ 48,00;
Semiótica da Arte e da Arquitetura;85-7480-206-9;Décio Pignatari;Arte, Semiótica, Arquitetura, Ilustrado;R$ 41,00;
Serafim Ponte Grande e as Dificuldades da Crítica Literária;85-7480-036-8;Pascoal Farinaccio;Literatura brasileira, Crítica literária;R$ 65,00;
Signos (em) Cena - Poemas | Ensaios;978-85-7480-515-3;Aguinaldo Gonçalves;Arte, Literatura brasileira, Poesia, Ilustrado;R$ 92,00;
Silêncios de Água e Pedra;978-85-7480-388-3;Wassily Chuck;Literatura brasileira, Poesia;R$ 65,00;
Silêncios no Escuro;978-85-7480-715-7;Maria Viana;Literatura brasileira, Contos;R$ 63,00;
Simbolismo dos Padrões Geométricos da Arte Islâmica, O;978-85-7480-367-8;Sylvia Leite;Arte, Religião, Cultura islâmica, Ilustrado, Cultura árabe;R$ 63,00;
Sinais das Ideias;85-7480-317-0;Moacir Ferreira de Oliveira;Literatura brasileira, Poesia;R$ 57,00;
